logID,amount,vates,ilvldiff,NDruids,PowerInfusion,uptime_pct,boss,mage,duration_s,vates_by,Berserking,Destruction,VT,JoW
nyR1dJwBvxcW2hgX,905.82195015965,0,-13.239997863769517,3,0,93.72366755464867,100627,111660780,211.716,0,1,0,0,2960
nyR1dJwBvxcW2hgX,2229.0505925474,1,5.839996337890625,3,0,0,100626,107276232,142.689,1,1,0,9924,1480
nyR1dJwBvxcW2hgX,1983.278318581,0,0.839996337890625,3,0,0,100626,107596523,142.689,0,0,0,9919,1184
nyR1dJwBvxcW2hgX,1985.0233725094,0,3.839996337890625,3,0,0,100626,109888177,142.689,0,1,0,9861,1212
nyR1dJwBvxcW2hgX,1015.2990069312,0,-13.160003662109375,3,0,86.80416850633196,100626,111660780,142.689,0,1,0,0,1332
nyR1dJwBvxcW2hgX,1573.7921480345,0,5.919998168945327,3,0,0,100625,107276232,202.115,0,1,0,10145,3182
nyR1dJwBvxcW2hgX,1569.457981842,0,3.9199981689453267,3,0,0,100625,109888177,202.115,0,1,0,10109,2294
nyR1dJwBvxcW2hgX,919.6051752715,0,-13.080001831054673,3,0,96.4480617470252,100625,111660780,202.115,0,1,0,0,3108
nyR1dJwBvxcW2hgX,958.65837200882,0,5.680000305175781,3,0,0,100628,107276232,455.715,0,1,0,14221,2146
nyR1dJwBvxcW2hgX,1108.3550025784,0,3.6800003051757813,3,0,0,100628,109888177,455.715,0,1,0,13779,2812
nyR1dJwBvxcW2hgX,607.6955992232,0,-13.319999694824219,3,0,46.172278726835856,100628,111660780,455.715,0,1,0,0,2812
nyR1dJwBvxcW2hgX,1482.3877632981,0,5.519996643066406,3,0,0,100730,107276232,316.229,0,1,0,11982,4144
nyR1dJwBvxcW2hgX,1544.282782414,1,0.51999664306640625,3,0,0,100730,107596523,316.229,1,0,0,12192,3626
nyR1dJwBvxcW2hgX,1565.6628582451,2+,3.5199966430664063,3,0,0,100730,109888177,316.229,2+,1,0,11844,3996
nyR1dJwBvxcW2hgX,756.06917771615,0,-13.480003356933594,3,0,94.00086646069778,100730,111660780,316.229,0,1,0,0,2590
nyR1dJwBvxcW2hgX,1803.8971317866,1,5.400001525878906,3,0,0,100731,107276232,169.304,1,1,0,9643,2738
nyR1dJwBvxcW2hgX,1794.9487312763,0,0.40000152587890625,3,0,0,100731,107596523,169.304,0,0,0,10067,3626
nyR1dJwBvxcW2hgX,1715.1691631621,0,3.4000015258789063,3,0,0,100731,109888177,169.304,0,1,0,10006,3108
nyR1dJwBvxcW2hgX,862.90341633984,0,-13.599998474121094,3,0,0,100731,111660780,169.304,0,1,0,0,2664
nyR1dJwBvxcW2hgX,1606.0927578169,0,5.3600006103515625,3,0,0,100732,107276232,124.41,0,1,0,6276,1184
nyR1dJwBvxcW2hgX,2023.639578812,1,0.3600006103515625,3,0,0,100732,107596523,124.41,1,0,0,6281,2442
nyR1dJwBvxcW2hgX,1852.5922353509,0,3.3600006103515625,3,0,0,100732,109888177,124.41,0,1,0,6275,1850
nyR1dJwBvxcW2hgX,883.45792138896,0,-13.639999389648438,3,0,75.73024676472953,100732,111660780,124.41,0,1,0,0,1924
nyR1dJwBvxcW2hgX,1209.1522287216,0,7.160003662109347,3,0,35.294665936149464,100733,107276232,439.871,0,1,0,12768,1776
nyR1dJwBvxcW2hgX,1412.5777784851,1,2.1600036621093466,3,0,0,100733,107596523,439.871,1,0,0,12828,2738
nyR1dJwBvxcW2hgX,1203.2755057733,0,5.160003662109347,3,0,0,100733,109888177,439.871,0,1,0,13196,2146
nyR1dJwBvxcW2hgX,1571.0084076226,0,7.839996337890625,3,0,0,100730,106002228,295.803,0,1,0,18850,4514
nyR1dJwBvxcW2hgX,1487.7705770394,0,0.839996337890625,3,0,0,100730,108644424,295.803,0,1,0,18887,4810
nyR1dJwBvxcW2hgX,1511.0563449323,0,-0.160003662109375,3,1,0,100730,111461037,295.803,0,0,0,18443,4736
nyR1dJwBvxcW2hgX,1739.487486198,0,8.040000915527344,3,0,0,100731,106002228,217.36,0,1,0,11331,3404
nyR1dJwBvxcW2hgX,1739.2574530732,0,1.0400009155273438,3,0,0,100731,108644424,217.36,0,1,0,11285,4070
nyR1dJwBvxcW2hgX,1537.7944423997,0,0.04000091552734375,3,0,0,100731,111461037,217.36,0,0,0,11473,3848
nyR1dJwBvxcW2hgX,1996.2230741739,0,8,3,0,0,100732,106002228,123.116,0,1,0,6286,1924
nyR1dJwBvxcW2hgX,1607.0697553527,0,1,3,0,0,100732,108644424,123.116,0,1,0,6007,2220
nyR1dJwBvxcW2hgX,1902.2466616849,0,0,3,0,0,100732,111461037,123.116,0,0,0,6374,3182
nyR1dJwBvxcW2hgX,1352.3870820835,0,2.8000030517577983,3,0,0,100733,108644424,430.379,0,1,0,20502,3848
nyR1dJwBvxcW2hgX,1355.7445879097,0,2.8000030517577983,3,0,0,100733,111461037,430.379,0,0,0,19795,3034
nyR1dJwBvxcW2hgX,1968.1675327504,0,7.8799972534179545,3,0,0,100623,106002228,128.548,0,1,0,6704,3034
nyR1dJwBvxcW2hgX,1746.8805426767,0,0.8799972534179545,3,0,0,100623,108644424,128.548,0,1,0,7327,2960
nyR1dJwBvxcW2hgX,1801.1482092292,0,2.8799972534179545,3,0,0,100623,111461037,128.548,0,0,0,7514,2294
t1kcWpxMN6Hnrf4v,1833.9689722043,1,-3.0800018310546733,2,0,0,100730,94651048,247.52,1,0,0,12802,5180
t1kcWpxMN6Hnrf4v,1690.5825791855,0,0.9199981689453267,2,0,0,100730,96910278,247.52,0,0,0,12774,4736
t1kcWpxMN6Hnrf4v,1700.2666451196,0,3.9199981689453267,2,0,0,100730,109279778,247.52,0,0,0,13083,4366
t1kcWpxMN6Hnrf4v,1811.1733100418,0,-2.839996337890639,2,0,0,100731,94651048,151.128,0,0,0,8598,2590
t1kcWpxMN6Hnrf4v,1936.239479117,0,1.1600036621093608,2,0,0,100731,96910278,151.128,0,0,0,8539,3404
t1kcWpxMN6Hnrf4v,2017.9649039225,0,3.160003662109361,2,0,0,100731,109279778,151.128,0,0,0,8316,3330
t1kcWpxMN6Hnrf4v,2162.1066128637,0,-2.839996337890639,2,0,0,100732,94651048,106.066,0,0,0,5194,1258
t1kcWpxMN6Hnrf4v,2018.0547960704,0,1.1600036621093608,2,0,0,100732,96910278,106.066,0,0,0,5234,1628
t1kcWpxMN6Hnrf4v,1776.6107895084,1,3.160003662109361,2,0,0,100732,109279778,106.066,1,0,0,5177,1406
t1kcWpxMN6Hnrf4v,1225.889077362,0,3.279998779296875,2,0,0,100733,96910278,411.494,0,0,0,10515,1554
t1kcWpxMN6Hnrf4v,2297.5415421712,0,-2.6800003051757813,2,0,0,100623,94651048,95.385,0,0,0,5969,2368
t1kcWpxMN6Hnrf4v,2625.0668344079,0,1.3199996948242188,2,0,0,100623,96910278,95.385,0,0,0,5964,2516
t1kcWpxMN6Hnrf4v,2372.500917335,0,3.3199996948242188,2,0,0,100623,109279778,95.385,0,0,0,5965,2516
LMDqdy8z79mcCpPf,2037.0335215857,0,3.1200027465820455,4,0,0,100623,93082919,126.426,0,0,0,6872,2368
LMDqdy8z79mcCpPf,1622.451078101,0,-6.8799972534179545,4,0,0,100623,96690125,126.426,0,0,0,6707,2368
LMDqdy8z79mcCpPf,1958.6477465078,0,6.1200027465820455,4,0,0,100623,101974311,126.426,0,0,0,6949,2664
LMDqdy8z79mcCpPf,1640.1226758241,0,2.839996337890625,4,0,0,100624,93082919,177.052,0,0,0,7486,3330
LMDqdy8z79mcCpPf,1072.1934798816,0,-7.160003662109375,4,0,0,100624,96690125,177.052,0,0,0,7322,2590
LMDqdy8z79mcCpPf,1607.476899442,0,5.839996337890625,4,0,0,100624,101974311,177.052,0,0,0,7382,2664
LMDqdy8z79mcCpPf,1780.5782124465,0,2.9199981689453267,4,0,0,100627,93082919,232.821,0,0,0,11584,4292
LMDqdy8z79mcCpPf,1286.4647089395,0,-7.080001831054673,4,0,0,100627,96690125,232.821,0,0,0,11533,3478
LMDqdy8z79mcCpPf,1906.4001958586,1,5.919998168945327,4,0,0,100627,101974311,232.821,1,0,0,11596,4292
LMDqdy8z79mcCpPf,1902.8029145611,0,2.760002136230483,4,0,0,100626,93082919,170.18,0,0,0,7161,888
LMDqdy8z79mcCpPf,1443.753672582,0,-7.239997863769517,4,0,0,100626,96690125,170.18,0,0,0,7109,518
LMDqdy8z79mcCpPf,1986.0618168998,0,5.760002136230483,4,0,0,100626,101974311,170.18,0,0,0,7133,370
LMDqdy8z79mcCpPf,1177.1763405812,0,-7.3600006103515625,4,0,0,100625,96690125,215.373,0,0,0,9995,3256
LMDqdy8z79mcCpPf,1093.5067031256,0,2.6399993896484375,4,0,0,100628,93082919,421.296,0,0,0,11307,2664
LMDqdy8z79mcCpPf,968.92208803312,1,-7.3600006103515625,4,0,0,100628,96690125,421.296,1,0,0,11243,2960
LMDqdy8z79mcCpPf,1084.0739052827,0,5.6399993896484375,4,0,0,100628,101974311,421.296,0,0,0,11281,3626
LMDqdy8z79mcCpPf,1346.2109230078,0,2.559997558593764,4,0,0,100730,93082919,307.278,0,0,0,13097,1702
LMDqdy8z79mcCpPf,1193.5348446683,0,-7.440002441406236,4,0,0,100730,96690125,307.278,0,0,0,13000,1406
LMDqdy8z79mcCpPf,1622.7064742676,1,5.559997558593764,4,0,0,100730,101974311,307.278,1,0,0,13140,1332
LMDqdy8z79mcCpPf,2195.3061010833,1,2.5999984741210938,4,0,0,100731,93082919,162.381,1,0,0,9317,3848
LMDqdy8z79mcCpPf,1847.6299567068,0,-7.400001525878906,4,0,0,100731,96690125,162.381,0,0,0,9425,3034
LMDqdy8z79mcCpPf,2137.7377895197,1,5.599998474121094,4,0,0,100731,101974311,162.381,1,0,0,9330,3182
LMDqdy8z79mcCpPf,1459.5799796466,1,5.6399993896484375,4,0,0,100732,101974311,216.18,1,0,0,9056,3108
bt1Jj6Kgd9h8yaMc,1431.8997410285,0,1.8333358764648438,3,0,0,100624,93761553,216.24,0,0,0,8061,3182
bt1Jj6Kgd9h8yaMc,1310.1368849427,0,4.833335876464844,3,0,0,100624,109626230,216.24,0,0,0,8064,3256
A7qDKtbN3ZgjaVxH,1996.3674530352,0,4,4,0,0,100623,106043925,121.953,0,1,0,6440,2664
A7qDKtbN3ZgjaVxH,2285.068837995,1,3,4,0,0,100623,106737340,121.953,1,1,1,6485,2664
A7qDKtbN3ZgjaVxH,1809.8231803245,0,3.9199981689453267,4,0,0,100624,106043925,164.631,0,1,0,7357,2516
A7qDKtbN3ZgjaVxH,1811.3174311035,1,2.9199981689453267,4,0,0,100624,106737340,164.631,1,1,2,7698,2664
A7qDKtbN3ZgjaVxH,1953.2956991431,1,3.9599990844726563,4,0,0,100627,106043925,196.984,1,1,0,11875,4662
A7qDKtbN3ZgjaVxH,2050.5675587865,1,2.9599990844726563,4,0,0,100627,106737340,196.984,1,1,2,12266,4810
XvaTxBDdcwYG9j2K,1677.0334746759,0,-3.4000015258789063,3,0,0,100623,91426081,131.831,0,0,0,0,1184
XvaTxBDdcwYG9j2K,1914.3676373539,0,3.5999984741210938,3,0,0,100623,91686273,131.831,0,1,1,8540,1554
XvaTxBDdcwYG9j2K,2074.2996715492,1,1.5999984741210938,3,1,0,100623,102029170,131.831,1,0,0,8476,2072
